word,Count
claim,2561
mainstream,8437
media,8706
narr,9323
seem,12491
offer,9843
singl,12813
simplist,12802
politically,10777
bias,1339
view,15076
repres,11744
peopl,10453
colour,2761
make,8446
sens,12525
seek,12489
divers,4004
opinion,9987
among,513
ethnic,4794
complic,2841
cdnpoli,2238
multicultur,9234
conserv,2939
want,15231
two,14514
tier,14089
for,5404
profit,11069
health,6360
that,13891
they,14002
parti,10298
insur,7107
salesmen,12236
falsifi,5042
brokerag,1717
credenti,3231
us,14879
carpet,2061
bagg,1058
canada,1927
market,8556
quietli,11337
chip,2447
away,998
provinc,11148
year,15716
look,8275
forward,5467
moder,9054
time,14110
panel,10241
mengwanzh,8765
twomichael,14515
cdnfp,2214
twitter,14510
com,2766
diplomacy_peac,3868
reggcohn,11618
statu,13265
theguardian,13933
environment,4691
bcpoli,1197
doug,4127
ford,5416
win,15484
re,11475
elect,4467
easili,4352
thread,14048
elxn,4522
onpoli,9940
votefordout,15152
gtlem,6153
status,13267
agre,297
blow,1494
mind,8909
realiz,11498
harm,6289
fuel,5626
crazi,3218
mistrust,8995
stop,13359
covidbc,3134
ndp,9401
full,5631
open,9973
transpar,14300
resid,11783
bc,1164
deserv,3725
actual,169
hell,6415
countri,3107
turn,14476
vaccinecult,14930
hard,6278
reconcil,11548
priest,11001
nun,9739
indian,6960
agent,282
rcmp,11465
lot,8303
land,7881
taken,13694
without,15524
legal,8020
surrend,13594
would,15613
stand,13228
law,7946
obviou,9805
cri,3244
resolut,11802
buff,1764
ly,8369
iagafb,6747
indigenousright,6978
aptnnews,721
ca,1856
national,9336
news,9483
bad,1048
pleas,10696
getvaccin,5817
folk,5374
covidisnotov,3150
deltavari,3645
equal,4720
opportun,9996
killer,7712
let,8061
get,5810
vaccin,14921
shot,12709
togetheragain,14160
covid,3129
maskup,8601
thisisourshot,14026
pfizer,10536
moderna,9056
cknw,2557
know,7775
friend,5581
chang,2333
world,15586
big,1349
way,15278
glad,5870
start,13243
home,6556
nationalpost,9348
adam,178
love,8310
episod,4713
definit,3609
worth,15606
check,2387
great,6061
analysi,534
super,13550
smart,12927
journalist,7478
david,3474
theherleburly,13936
offici,9847
fatal,5086
fall,5035
ableg,57
retweet,11855
immedi,6845
settlement,12563
first,5264
nation,9335
kid,7699
burn,1801
canadian,1950
tax,13750
dollar,4072
court,3120
tri,14344
avoid,988
rule,12117
children,2425
well,15347
heal,6357
cblackst,2162
cultur,3341
studi,13450
endors,4606
remov,11700
sirjohna,12824
spend,13121
refurbish,11609
shabbi,12594
fibreglass,5193
lemon,8038
cabinet,1861
minist,8928
ride,11926
blacklocks,1427
art,790
complaint,2834
exit,4894
existenti,4893
crisi,3256
face,4985
green,6072
go,5925
find,5230
caught,2114
intersection,7141
issu,7238
can,1924
handl,6252
post,10859
column,2764
unbear,14608
murki,9256
bit,1404
zuifmb,15912
fordgovern,5421
recycl,11566
harpergovern,6296
action,159
plan,10668
rememb,11688
ten,13820
million,8902
sign,12768
press,10971
releas,11661
zero,15860
richardcitynew,11907
smile,12938
ont,9944
ltc,8332
unsafeseptemb,14787
fordliedpeopledi,5422
firelecc,5255
covidon,3155
contario,2984
odspoverti,9827
heydofo,6459
shoveyourcooki,12717
nilikm,9547
school,12368
system,13663
must,9265
secular,12474
practic,10902
religion,11676
outsid,10121
hour,6628
impos,6886
other,10050
unif,14710
ontario,9947
abhijeetmonet,47
current,3357
guarante,6158
fair,5009
